error_type,severity,injection_step,obs_step,propagation_rate,survival_score
semantic,3,search,search,0.0,0.22712608695652173
semantic,3,search,filter,0.0,0.05762608695652174
semantic,3,search,summarize,0.0,0.01574782608695652
semantic,3,search,compose,0.0,0.007460869565217391
semantic,3,search,verify,0.0,0.0027434782608695652
semantic,3,filter,search,,
semantic,3,filter,filter,0.0,0.1951448275862069
semantic,3,filter,summarize,0.0,0.03519137931034483
semantic,3,filter,compose,0.0,0.01685344827586207
semantic,3,filter,verify,0.0,0.004396551724137931
semantic,3,summarize,search,,
semantic,3,summarize,filter,,
semantic,3,summarize,summarize,0.0,0.26435405405405404
semantic,3,summarize,compose,0.0,0.03368108108108108
semantic,3,summarize,verify,0.0,0.008108108108108109
semantic,3,compose,search,,
semantic,3,compose,filter,,
semantic,3,compose,summarize,,
semantic,3,compose,compose,0.0,0.3
semantic,3,compose,verify,0.0,0.0
semantic,2,search,search,0.0,0.2602127659574468
semantic,2,search,filter,0.0,0.05617021276595745
semantic,2,search,summarize,0.0,0.01170212765957447
semantic,2,search,compose,0.0,0.0
semantic,2,search,verify,0.0,0.0
semantic,2,filter,search,,
semantic,2,filter,filter,0.0,0.23809523809523808
semantic,2,filter,summarize,0.0,0.027301587301587302
semantic,2,filter,compose,0.0,0.015079365079365078
semantic,2,filter,verify,0.0,0.007142857142857142
semantic,2,summarize,search,,
semantic,2,summarize,filter,,
semantic,2,summarize,summarize,0.0,0.24157894736842103
semantic,2,summarize,compose,0.0,0.015789473684210527
semantic,2,summarize,verify,0.0,0.007894736842105263
semantic,2,compose,search,,
semantic,2,compose,filter,,
semantic,2,compose,summarize,,
semantic,2,compose,compose,0.0,0.2785714285714286
semantic,2,compose,verify,0.0,0.010714285714285714
semantic,1,search,search,0.0,0.24107142857142858
semantic,1,search,filter,0.0,0.05178571428571428
semantic,1,search,summarize,0.0,0.019642857142857146
semantic,1,search,compose,0.0,0.01607142857142857
semantic,1,search,verify,0.0,0.005357142857142857
semantic,1,filter,search,,
semantic,1,filter,filter,0.0,0.2421052631578947
semantic,1,filter,summarize,0.0,0.010526315789473684
semantic,1,filter,compose,0.0,0.010526315789473684
semantic,1,filter,verify,0.0,0.0
semantic,1,summarize,search,,
semantic,1,summarize,filter,,
semantic,1,summarize,summarize,0.0,0.2804878048780488
semantic,1,summarize,compose,0.0,0.014634146341463414
semantic,1,summarize,verify,0.0,0.0
semantic,1,compose,search,,
semantic,1,compose,filter,,
semantic,1,compose,summarize,,
semantic,1,compose,compose,0.0,0.28518518518518515
semantic,1,compose,verify,0.0,0.011111111111111112
factual,1,search,search,1.0,0.8360377777777777
factual,1,search,filter,0.37777777777777777,0.3160955555555555
