model,error_type,steps,fr_compound,fr_step_i,fr_step_j,fr_expected_indep,super_additive,interaction_delta
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 3)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(0, 1)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(0, 1)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(1, 2)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(1, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(0, 1)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(0, 1)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(0, 1)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(0, 1)",0.1737,0,0.0,0.0,True,0.1737
claude-3-haiku,semantic,"(0, 1)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(0, 1)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(0, 1)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(0, 2)",0.2471,0,0.0,0.0,True,0.2471
claude-3-haiku,semantic,"(0, 2)",0.2563,0,0.0,0.0,True,0.2563
claude-3-haiku,semantic,"(0, 2)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(0, 2)",0.2563,0,0.0,0.0,True,0.2563
claude-3-haiku,semantic,"(0, 2)",0.2839,0,0.0,0.0,True,0.2839
claude-3-haiku,semantic,"(0, 3)",0.2471,0,0.0,0.0,True,0.2471
claude-3-haiku,semantic,"(0, 3)",0.2471,0,0.0,0.0,True,0.2471
claude-3-haiku,semantic,"(0, 1)",0.215,0,0.0,0.0,True,0.215
claude-3-haiku,semantic,"(1, 2)",0.2563,0,0.0,0.0,True,0.2563
claude-3-haiku,semantic,"(1, 2)",0.2839,0,0.0,0.0,True,0.2839
claude-3-haiku,semantic,"(1, 2)",0.2563,0,0.0,0.0,True,0.2563
claude-3-haiku,semantic,"(1, 2)",0.2839,0,0.0,0.0,True,0.2839
claude-3-haiku,semantic,"(1, 2)",0.2563,0,0.0,0.0,True,0.2563
claude-3-haiku,semantic,"(1, 2)",0.2839,0,0.0,0.0,True,0.2839
claude-3-haiku,semantic,"(1, 2)",0.2563,0,0.0,0.0,True,0.2563
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 1)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
claude-3-haiku,semantic,"(0, 2)",0.0,0,0.0,0.0,False,0.0
