model,error_type,injection_step,n_paired,mean_baseline,mean_injected,mean_diff,std_diff,injected_ci95_lo,injected_ci95_hi,test,p_value,effect_size_r,cohens_d,p_value_adjusted,correction_method,significant_after_correction,p_value_bonferroni
claude-3-haiku,factual,search,128,0.87484375,0.8466322668173482,0.02821148318265181,0.10557901560194334,0.8154900981179669,0.8753402707641962,wilcoxon_paired_by_query_trial,2.9250959889124795e-07,0.1512,0.2672,8.775287966737439e-07,holm-bonferroni (m=4),True,8.775287966737439e-07
claude-3-haiku,factual,filter,124,0.8474193548387097,0.8274680365079188,0.01995131833079094,0.14856392662754148,0.7937212602207073,0.858428335254995,wilcoxon_paired_by_query_trial,0.00039358095750354714,-0.124,0.1343,0.00039358095750354714,holm-bonferroni (m=4),True,0.00039358095750354714
claude-3-haiku,factual,summarize,146,0.862054794520548,0.8554739671518172,0.006580827368730611,0.12464247602904442,0.8281621453263098,0.8807151819713618,wilcoxon_paired_by_query_trial,4.7470434371566966e-05,-0.2285,0.0528,9.494086874313393e-05,holm-bonferroni (m=4),True,9.494086874313393e-05
claude-3-haiku,factual,compose,59,0.852542372881356,0.5150332620357452,0.3375091108456109,0.20159565942540367,0.472005727484647,0.5557208911795299,wilcoxon_paired_by_query_trial,3.3973062088641305e-11,0.9921,1.6742,1.3589224835456522e-10,holm-bonferroni (m=4),True,1.3589224835456522e-10
claude-3-haiku,omission,search,130,0.8693846153846154,0.8253490504799252,0.04403556490468998,0.15912526738856067,0.7972913432759205,0.8515639771700461,wilcoxon_paired_by_query_trial,1.2074794131917162e-06,0.4124,0.2767,3.6224382395751487e-06,holm-bonferroni (m=4),True,3.6224382395751487e-06
claude-3-haiku,omission,filter,123,0.8655284552845529,0.7938751780481927,0.07165327723636013,0.21984224172693537,0.7656105472473963,0.8219440472198463,wilcoxon_paired_by_query_trial,7.889420228458533e-07,0.2786,0.3259,3.155768091383413e-06,holm-bonferroni (m=4),True,3.155768091383413e-06
claude-3-haiku,omission,summarize,102,0.8654901960784314,0.818390962678992,0.04709923339943959,0.18275918549389603,0.7853185603181734,0.8494572936631277,wilcoxon_paired_by_query_trial,1.6938536623930824e-06,0.1828,0.2577,3.6224382395751487e-06,holm-bonferroni (m=4),True,3.6224382395751487e-06
claude-3-haiku,omission,compose,56,0.8053571428571428,0.7126187708221119,0.09273837203503102,0.24489066141625637,0.6629735191987353,0.7642104104325014,wilcoxon_paired_by_query_trial,4.3512997514450665e-05,0.5675,0.3787,4.3512997514450665e-05,holm-bonferroni (m=4),True,4.3512997514450665e-05
claude-3-haiku,semantic,search,130,0.8876923076923078,0.9254050510892616,-0.03771274339695392,0.13264540531706023,0.897968016194332,0.9497029111239638,wilcoxon_paired_by_query_trial,0.05963634311919427,-18.943,-0.2843,0.11300667839909691,holm-bonferroni (m=4),False,0.11300667839909691
claude-3-haiku,semantic,filter,158,0.8468354430379748,0.8904113924050633,-0.043575949367088605,0.13588362828902917,0.861549841772152,0.9170569620253164,wilcoxon_paired_by_query_trial,0.03766889279969897,-10.392,-0.3207,0.11300667839909691,holm-bonferroni (m=4),False,0.11300667839909691
claude-3-haiku,semantic,summarize,85,0.8564705882352942,0.9367239819004524,-0.08025339366515837,0.1996286842011061,0.8990533936651582,0.9687303167420812,wilcoxon_paired_by_query_trial,0.025208052884165378,-7.9367,-0.402,0.10083221153666151,holm-bonferroni (m=4),False,0.10083221153666151
claude-3-haiku,semantic,compose,37,0.8324324324324325,0.8086486486486484,0.023783783783783877,0.18867007286900697,0.7578378378378378,0.8529729729729728,wilcoxon_paired_by_query_trial,0.04069423631881364,0.3855,0.1261,0.11300667839909691,holm-bonferroni (m=4),False,0.11300667839909691
