model,error_type,severity,step_name,prev_step,fr_prev,fr_curr,attenuation
claude-3-haiku,factual,1,filter,search,0.09065543072398573,0.05401366929420332,0.404187163826333
claude-3-haiku,factual,1,summarize,filter,0.05401366929420332,0.0679257199192252,-0.2575653683004815
claude-3-haiku,factual,1,compose,summarize,0.0679257199192252,0.6560899060448041,-8.658931945439848
claude-3-haiku,factual,2,filter,search,0.1878666493171483,0.21142649597293134,-0.12540728618633268
claude-3-haiku,factual,2,summarize,filter,0.21142649597293134,0.07755977279547065,0.6331596357468814
claude-3-haiku,factual,2,compose,summarize,0.07755977279547065,0.5691205550312984,-6.3378316428556385
claude-3-haiku,factual,3,filter,search,0.08617673502436074,0.07250258841432336,0.1586756171044531
claude-3-haiku,factual,3,summarize,filter,0.07250258841432336,0.023844701840399853,0.6711193026083855
claude-3-haiku,factual,3,compose,summarize,0.023844701840399853,0.48305923990220884,-19.258556518570767
claude-3-haiku,omission,1,filter,search,0.11715395547460662,0.1077933467501164,0.07990006557242668
claude-3-haiku,omission,1,summarize,filter,0.1077933467501164,0.07509677704050817,0.3033264175886896
claude-3-haiku,omission,1,compose,summarize,0.07509677704050817,0.3460490463215258,-3.6080412496912144
claude-3-haiku,omission,2,filter,search,0.12942582049861973,0.1862049464056158,-0.43870014258554857
claude-3-haiku,omission,2,summarize,filter,0.1862049464056158,0.14861281187198003,0.20188579980978438
claude-3-haiku,omission,2,compose,summarize,0.14861281187198003,0.22491139097708784,-0.5134051239864428
claude-3-haiku,omission,3,filter,search,0.14868740894000881,0.25526609636371783,-0.71679699164514
claude-3-haiku,omission,3,summarize,filter,0.25526609636371783,0.2834915867894428,-0.110572813341838
claude-3-haiku,omission,3,compose,summarize,0.2834915867894428,0.24198414307772217,0.1464150812438373
claude-3-haiku,semantic,1,filter,search,0.010847947929850187,0.0,1.0
claude-3-haiku,semantic,1,summarize,filter,0.0,0.09871632616163456,-1.0
claude-3-haiku,semantic,1,compose,summarize,0.09871632616163456,0.17844874344603165,-0.807692307692307
claude-3-haiku,semantic,2,filter,search,0.07156035404091829,0.0631312725638217,0.117789823570141
claude-3-haiku,semantic,2,summarize,filter,0.0631312725638217,0.06226722111733882,0.013686583707137934
claude-3-haiku,semantic,2,compose,summarize,0.06226722111733882,0.18976676911950824,-2.047619047619039
claude-3-haiku,semantic,3,filter,search,0.0449352680199869,0.02489395435517313,0.4460040976254894
claude-3-haiku,semantic,3,summarize,filter,0.02489395435517313,0.11590067824766379,-3.655776121144002
claude-3-haiku,semantic,3,compose,summarize,0.11590067824766379,0.20151612986543394,-0.7386967264749023
