error_type,severity,injection_step,obs_step,propagation_rate,survival_score
semantic,3,search,search,0.0,0.22583722222222222
semantic,3,search,filter,0.0,0.059141111111111117
semantic,3,search,summarize,0.0,0.011765555555555555
semantic,3,search,compose,0.0,0.00431388888888889
semantic,3,search,verify,0.0,0.00044444444444444447
semantic,3,filter,search,,
semantic,3,filter,filter,0.0,0.19039777777777778
semantic,3,filter,summarize,0.0,0.025288888888888885
semantic,3,filter,compose,0.0,0.009913888888888889
semantic,3,filter,verify,0.0,0.00075
semantic,3,summarize,search,,
semantic,3,summarize,filter,,
semantic,3,summarize,summarize,0.0,0.19091388888888888
semantic,3,summarize,compose,0.0,0.051957777777777776
semantic,3,summarize,verify,0.0,0.007453888888888888
semantic,3,compose,search,,
semantic,3,compose,filter,,
semantic,3,compose,summarize,,
semantic,3,compose,compose,0.0,0.14794000000000002
semantic,3,compose,verify,0.0,0.0
semantic,2,search,search,0.0,0.2361111111111111
semantic,2,search,filter,0.0,0.056
semantic,2,search,summarize,0.0,0.010555555555555556
semantic,2,search,compose,0.0,0.005833333333333334
semantic,2,search,verify,0.0,0.0
semantic,2,filter,search,,
semantic,2,filter,filter,0.0,0.21283333333333332
semantic,2,filter,summarize,0.0,0.025
semantic,2,filter,compose,0.0,0.009722222222222222
semantic,2,filter,verify,0.0,0.0024999999999999996
semantic,2,summarize,search,,
semantic,2,summarize,filter,,
semantic,2,summarize,summarize,0.0,0.19244444444444445
semantic,2,summarize,compose,0.0,0.05399999999999999
semantic,2,summarize,verify,0.0,0.007499999999999999
semantic,2,compose,search,,
semantic,2,compose,filter,,
semantic,2,compose,summarize,,
semantic,2,compose,compose,0.0,0.1623888888888889
semantic,2,compose,verify,0.0,0.004999999999999999
semantic,1,search,search,0.0,0.21444444444444447
semantic,1,search,filter,0.0,0.049444444444444444
semantic,1,search,summarize,0.0,0.009444444444444445
semantic,1,search,compose,0.0,0.003333333333333333
semantic,1,search,verify,0.0,0.0
semantic,1,filter,search,,
semantic,1,filter,filter,0.0,0.2088888888888889
semantic,1,filter,summarize,0.0,0.027777777777777776
semantic,1,filter,compose,0.0,0.009999999999999998
semantic,1,filter,verify,0.0,0.0
semantic,1,summarize,search,,
semantic,1,summarize,filter,,
semantic,1,summarize,summarize,0.0,0.19555555555555554
semantic,1,summarize,compose,0.0,0.06166666666666666
semantic,1,summarize,verify,0.0,0.011666666666666667
semantic,1,compose,search,,
semantic,1,compose,filter,,
semantic,1,compose,summarize,,
semantic,1,compose,compose,0.0,0.155
semantic,1,compose,verify,0.0,0.016666666666666666
factual,1,search,search,1.0,0.83304
factual,1,search,filter,0.25555555555555554,0.22828833333333334
factual,1,search,summarize,0.1388888888888889,0.12187833333333332
factual,1,search,compose,0.06111111111111111,0.06444333333333334
factual,1,search,verify,0.011111111111111112,0.04182944444444445
factual,1,filter,search,,
factual,1,filter,filter,1.0,0.8320933333333334
factual,1,filter,summarize,0.39444444444444443,0.27742666666666665
factual,1,filter,compose,0.2,0.15316611111111111
factual,1,filter,verify,0.027777777777777776,0.04572888888888889
factual,1,summarize,search,,
factual,1,summarize,filter,,
factual,1,summarize,summarize,1.0,0.8320933333333334
factual,1,summarize,compose,0.1388888888888889,0.11430888888888889
factual,1,summarize,verify,0.011111111111111112,0.03663388888888889
factual,1,compose,search,,
factual,1,compose,filter,,
factual,1,compose,summarize,,
factual,1,compose,compose,1.0,0.8320933333333334
factual,1,compose,verify,0.05555555555555555,0.04422888888888889
factual,3,search,search,1.0,0.7611899999999999
factual,3,search,filter,0.43333333333333335,0.11965888888888888
factual,3,search,summarize,0.35555555555555557,0.09400277777777778
factual,3,search,compose,0.28888888888888886,0.06254833333333333
factual,3,search,verify,0.05555555555555555,0.033862777777777776
factual,3,filter,search,,
factual,3,filter,filter,1.0,0.6707344444444445
factual,3,filter,summarize,0.9333333333333333,0.26002833333333336
factual,3,filter,compose,0.6611111111111111,0.13960833333333333
factual,3,filter,verify,0.08888888888888889,0.03813277777777778
factual,3,summarize,search,,
factual,3,summarize,filter,,
factual,3,summarize,summarize,1.0,0.6271733333333334
factual,3,summarize,compose,0.5388888888888889,0.09963055555555554
factual,3,summarize,verify,0.14444444444444443,0.037245
factual,3,compose,search,,
factual,3,compose,filter,,
factual,3,compose,summarize,,
factual,3,compose,compose,1.0,0.27045722222222224
factual,3,compose,verify,0.21666666666666667,0.044725
factual,2,search,search,1.0,0.7675316666666666
factual,2,search,filter,0.49444444444444446,0.2505738888888889
factual,2,search,summarize,0.22777777777777777,0.12028000000000001
factual,2,search,compose,0.12222222222222222,0.063715
factual,2,search,verify,0.022222222222222223,0.03660611111111111
factual,2,filter,search,,
factual,2,filter,filter,1.0,0.7682083333333334
factual,2,filter,summarize,0.7222222222222222,0.35676722222222224
factual,2,filter,compose,0.4388888888888889,0.19880166666666668
factual,2,filter,verify,0.05,0.040439444444444445
factual,2,summarize,search,,
factual,2,summarize,filter,,
factual,2,summarize,summarize,1.0,0.7707572222222222
factual,2,summarize,compose,0.14444444444444443,0.07539388888888889
factual,2,summarize,verify,0.027777777777777776,0.03759833333333333
factual,2,compose,search,,
factual,2,compose,filter,,
factual,2,compose,summarize,,
factual,2,compose,compose,1.0,0.6423633333333333
factual,2,compose,verify,0.07777777777777778,0.04346055555555555
omission,2,search,search,0.7833333333333333,0.23063777777777777
