model,error_type,steps,fr_compound,fr_step_i,fr_step_j,fr_expected_indep,super_additive,interaction_delta
claude-3-haiku,semantic,"(0, 1)",0.0,0.0315,0.0069,0.0381,False,-0.0381
claude-3-haiku,semantic,"(0, 1)",0.0,0.0315,0.0069,0.0381,False,-0.0381
claude-3-haiku,semantic,"(0, 1)",0.0,0.0315,0.0069,0.0381,False,-0.0381
claude-3-haiku,semantic,"(0, 1)",0.0,0.0315,0.0069,0.0381,False,-0.0381
claude-3-haiku,semantic,"(0, 1)",0.0,0.0315,0.0069,0.0381,False,-0.0381
claude-3-haiku,semantic,"(0, 1)",0.0237,0.0315,0.0069,0.0381,False,-0.0144
claude-3-haiku,semantic,"(0, 1)",0.0237,0.0315,0.0069,0.0381,False,-0.0144
claude-3-haiku,semantic,"(0, 1)",0.0237,0.0315,0.0069,0.0381,False,-0.0144
claude-3-haiku,semantic,"(0, 1)",0.0237,0.0315,0.0069,0.0381,False,-0.0144
claude-3-haiku,semantic,"(0, 1)",0.0237,0.0315,0.0069,0.0381,False,-0.0144
claude-3-haiku,semantic,"(0, 2)",0.0795,0.0315,0.0923,0.1209,False,-0.0414
claude-3-haiku,semantic,"(0, 2)",0.0,0.0315,0.0923,0.1209,False,-0.1209
claude-3-haiku,semantic,"(0, 2)",0.0,0.0315,0.0923,0.1209,False,-0.1209
claude-3-haiku,semantic,"(0, 2)",0.0,0.0315,0.0923,0.1209,False,-0.1209
claude-3-haiku,semantic,"(0, 2)",0.0237,0.0315,0.0923,0.1209,False,-0.0972
claude-3-haiku,semantic,"(0, 2)",0.0237,0.0315,0.0923,0.1209,False,-0.0972
claude-3-haiku,semantic,"(0, 2)",0.0237,0.0315,0.0923,0.1209,False,-0.0972
claude-3-haiku,semantic,"(0, 2)",0.0795,0.0315,0.0923,0.1209,False,-0.0414
claude-3-haiku,semantic,"(0, 2)",0.0,0.0315,0.0923,0.1209,False,-0.1209
claude-3-haiku,semantic,"(0, 3)",0.0,0.0315,0.1899,0.2154,False,-0.2154
