model,error_type,injection_step,n_paired,mean_baseline,mean_injected,mean_diff,std_diff,injected_ci95_lo,injected_ci95_hi,test,p_value,effect_size_r,cohens_d,p_value_adjusted,correction_method,significant_after_correction,p_value_bonferroni
claude-3-haiku,factual,search,540,0.6158888888888888,0.5590533513408987,0.056835537547990166,0.1536646259502915,0.5408565593399448,0.5777569221451554,wilcoxon_paired_by_query_trial,4.0269340232985643e-29,-0.3,0.3699,1.2080802069895693e-28,holm-bonferroni (m=4),True,1.2080802069895693e-28
claude-3-haiku,factual,filter,540,0.6158888888888888,0.5620858094672472,0.05380307942164175,0.1848765737943233,0.5426388657632406,0.5809550345947466,wilcoxon_paired_by_query_trial,1.0865357216155245e-14,0.0051,0.291,1.0865357216155245e-14,holm-bonferroni (m=4),True,1.0865357216155245e-14
claude-3-haiku,factual,summarize,540,0.6158888888888888,0.5811260270955965,0.034762861793292396,0.1533599290221796,0.5618476200525229,0.6001954523448432,wilcoxon_paired_by_query_trial,6.111112735155216e-18,-0.4045,0.2267,1.2222225470310433e-17,holm-bonferroni (m=4),True,1.2222225470310433e-17
claude-3-haiku,factual,compose,540,0.6158888888888888,0.26518744620286,0.3507014426860289,0.2261559032327587,0.24863498480776386,0.2814458934673677,wilcoxon_paired_by_query_trial,1.4620711794649655e-86,0.9791,1.5507,5.848284717859862e-86,holm-bonferroni (m=4),True,5.848284717859862e-86
claude-3-haiku,omission,search,540,0.6116666666666667,0.5305101432759227,0.08115652339074395,0.16543060766298057,0.5128409345918195,0.5483765900670801,wilcoxon_paired_by_query_trial,2.4490089736683418e-42,0.6438,0.4906,4.8980179473366835e-42,holm-bonferroni (m=4),True,4.8980179473366835e-42
claude-3-haiku,omission,filter,516,0.6160852713178296,0.49867542830590966,0.11740984301191991,0.15602414017947935,0.48002909380427167,0.51671517460119,wilcoxon_paired_by_query_trial,7.375363250881762e-57,0.7285,0.7525,2.950145300352705e-56,holm-bonferroni (m=4),True,2.950145300352705e-56
claude-3-haiku,omission,summarize,513,0.6132553606237817,0.5052287988850709,0.10802656173871081,0.18408269815717454,0.4872816062721997,0.5253420486969322,wilcoxon_paired_by_query_trial,6.879785635126526e-50,0.6085,0.5868,2.063935690537958e-49,holm-bonferroni (m=4),True,2.063935690537958e-49
claude-3-haiku,omission,compose,230,0.5619130434782609,0.4683209445379405,0.09359209894032049,0.14397716395505628,0.4459385757397883,0.49341411132861374,wilcoxon_paired_by_query_trial,1.5755046379718568e-26,0.7363,0.65,1.5755046379718568e-26,holm-bonferroni (m=4),True,1.5755046379718568e-26
claude-3-haiku,semantic,search,405,0.6014814814814815,0.5938994090163682,0.0075820724651134005,0.06425598113350021,0.5682581879080417,0.6216209234506018,wilcoxon_paired_by_query_trial,0.03021273048586349,-46.3084,0.118,0.06042546097172698,holm-bonferroni (m=4),False,0.06042546097172698
claude-3-haiku,semantic,filter,405,0.6014814814814815,0.6088252611585945,-0.0073437796771130106,0.081104783058142,0.5843777540360874,0.636642260208927,wilcoxon_paired_by_query_trial,0.8877855777341522,-21.3234,-0.0905,0.8877855777341522,holm-bonferroni (m=4),False,0.8877855777341522
claude-3-haiku,semantic,summarize,405,0.6014814814814815,0.5389359678326999,0.06254551364878164,0.13455309107038232,0.5152578973362634,0.5630000211577337,wilcoxon_paired_by_query_trial,2.568741478333392e-18,-2.3202,0.4648,7.706224435000177e-18,holm-bonferroni (m=4),True,7.706224435000177e-18
claude-3-haiku,semantic,compose,405,0.6014814814814815,0.48021305114638446,0.12126843033509706,0.13848758437508368,0.4607924514991181,0.4999941093474427,wilcoxon_paired_by_query_trial,1.0417808806030056e-46,0.5791,0.8757,4.1671235224120225e-46,holm-bonferroni (m=4),True,4.1671235224120225e-46
