model,error_type,severity,severity_physical_mean,error_step,step_name,baseline_score,mean_score,failure_rate,n
claude-3-haiku,factual,1,1.0,0,search,0.7316666666666668,0.88485291005291,0.0,45
claude-3-haiku,factual,1,1.0,1,filter,0.7316666666666668,0.8179550504140667,0.0,61
claude-3-haiku,factual,1,1.0,2,summarize,0.7316666666666668,0.8539799498746866,0.0,57
claude-3-haiku,factual,1,1.0,3,compose,0.7316666666666668,0.4756437389770724,0.34991744103361416,27
claude-3-haiku,factual,3,8.0,0,search,0.7500000000000001,0.8202510166959087,0.0,40
claude-3-haiku,factual,3,8.0,1,filter,0.7500000000000001,0.8171055990465729,0.0,25
claude-3-haiku,factual,3,8.0,2,summarize,0.7500000000000001,0.8603618014064861,0.0,44
claude-3-haiku,factual,3,8.0,3,compose,0.7500000000000001,0.5553328384877472,0.25955621534967055,9
claude-3-haiku,omission,1,0.1015238095238095,0,search,0.7138888888888889,0.8229724156030506,0.0,50
claude-3-haiku,omission,1,0.10014646464646465,1,filter,0.7138888888888889,0.857660963401475,0.0,50
claude-3-haiku,omission,1,0.12186011519344847,2,summarize,0.7138888888888889,0.8370568351859059,0.0,45
claude-3-haiku,semantic,1,1.0,0,search,0.726111111111111,0.9096428571428571,0.0,56
claude-3-haiku,semantic,1,1.0,1,filter,0.726111111111111,0.8940350877192982,0.0,57
claude-3-haiku,semantic,1,1.0,2,summarize,0.726111111111111,0.9526829268292684,0.0,41
claude-3-haiku,semantic,1,1.0,3,compose,0.726111111111111,0.7674074074074072,0.0,27
