model,error_type,severity,step_name,prev_step,fr_prev,fr_curr,attenuation
claude-haiku-3,ragtruth_weighted,1,filter,search,0.029403697586587424,0.07872484996484559,-1.6773792558918217
claude-haiku-3,ragtruth_weighted,1,summarize,filter,0.07872484996484559,0.06760610849560564,0.1412354736046496
claude-haiku-3,ragtruth_weighted,1,compose,summarize,0.06760610849560564,0.2578721243550103,-2.814331723763864
claude-sonnet-3-7,ragtruth_weighted,1,filter,search,0.001440002908007915,0.036491697054745795,-24.341405112318853
claude-sonnet-3-7,ragtruth_weighted,1,summarize,filter,0.036491697054745795,0.14305778059057375,-2.9202830270117266
claude-sonnet-3-7,ragtruth_weighted,1,compose,summarize,0.14305778059057375,0.4155394539851519,-1.9046966356510935
claude-sonnet-4,ragtruth_weighted,1,filter,search,0.012821687679325582,0.03597735113161893,-1.8059762514439388
claude-sonnet-4,ragtruth_weighted,1,summarize,filter,0.03597735113161893,0.0528025987791396,-0.46766221298414856
claude-sonnet-4,ragtruth_weighted,1,compose,summarize,0.0528025987791396,0.36174494573614596,-5.850892836718831
llama-3.1-8b,ragtruth_weighted,1,filter,search,0.0,0.049248529342127256,-1.0
llama-3.1-8b,ragtruth_weighted,1,summarize,filter,0.049248529342127256,0.025160590781857037,0.48910980453715525
llama-3.1-8b,ragtruth_weighted,1,compose,summarize,0.025160590781857037,0.18176932024252768,-6.224366145392702
llama-3.1-8b,ragtruth_weighted,2,filter,search,0.09093148186646048,0.10552807190524888,-0.16052295353796775
llama-3.1-8b,ragtruth_weighted,2,summarize,filter,0.10552807190524888,0.1152058562451237,-0.09170815087538298
llama-3.1-8b,ragtruth_weighted,2,compose,summarize,0.1152058562451237,0.34377004413665624,-1.983963275314895
llama-3.1-8b,ragtruth_weighted,3,filter,search,0.08735882365490698,0.09874537996847539,-0.13034237226623668
llama-3.1-8b,ragtruth_weighted,3,summarize,filter,0.09874537996847539,0.11766139599001345,-0.19156355494886967
llama-3.1-8b,ragtruth_weighted,3,compose,summarize,0.11766139599001345,0.3086035365033711,-1.6228104290855425
