model,error_type,severity,severity_physical_mean,error_step,step_name,baseline_score,mean_score,failure_rate,n
claude-haiku-3,ragtruth_weighted,1,1.0,0,search,0.766364653243848,0.7438306987388159,0.029403697586587424,3548
claude-haiku-3,ragtruth_weighted,1,1.0,1,filter,0.766364653243848,0.7060327108988651,0.07872484996484559,3566
claude-haiku-3,ragtruth_weighted,1,1.0,2,summarize,0.766364653243848,0.7145537213494472,0.06760610849560564,3402
claude-haiku-3,ragtruth_weighted,1,1.0,3,compose,0.766364653243848,0.568740572081266,0.2578721243550103,3170
claude-sonnet-3-7,ragtruth_weighted,1,1.0,0,search,0.5313333333333332,0.5305682117882117,0.001440002908007915,150
claude-sonnet-3-7,ragtruth_weighted,1,1.0,1,filter,0.5313333333333332,0.511944078298245,0.036491697054745795,144
claude-sonnet-3-7,ragtruth_weighted,1,1.0,2,summarize,0.5313333333333332,0.45532196591287505,0.14305778059057375,132
claude-sonnet-3-7,ragtruth_weighted,1,1.0,3,compose,0.5313333333333332,0.31054337011588923,0.4155394539851519,131
claude-sonnet-4,ragtruth_weighted,1,1.0,0,search,0.5385333333333333,0.5316284271284272,0.012821687679325582,150
claude-sonnet-4,ragtruth_weighted,1,1.0,1,filter,0.5385333333333333,0.5191583305039188,0.03597735113161893,144
claude-sonnet-4,ragtruth_weighted,1,1.0,2,summarize,0.5385333333333333,0.5100973738041407,0.0528025987791396,133
claude-sonnet-4,ragtruth_weighted,1,1.0,3,compose,0.5385333333333333,0.34372162188956085,0.36174494573614596,131
llama-3.1-8b,ragtruth_weighted,1,1.0,0,search,0.7362485207100592,0.7367068775084346,0.0,4851
llama-3.1-8b,ragtruth_weighted,1,1.0,1,filter,0.7362485207100592,0.6999893638347721,0.049248529342127256,4697
llama-3.1-8b,ragtruth_weighted,1,1.0,2,summarize,0.7362485207100592,0.7177240729667258,0.025160590781857037,3741
llama-3.1-8b,ragtruth_weighted,1,1.0,3,compose,0.7362485207100592,0.6024211275710252,0.18176932024252768,3502
llama-3.1-8b,ragtruth_weighted,2,1.8662921348314607,0,search,0.7362485207100592,0.6693003516999041,0.09093148186646048,890
llama-3.1-8b,ragtruth_weighted,2,1.89,1,filter,0.7362485207100592,0.658553633876435,0.10552807190524888,900
llama-3.1-8b,ragtruth_weighted,2,1.6916666666666667,2,summarize,0.7362485207100592,0.6514283794724511,0.1152058562451237,840
llama-3.1-8b,ragtruth_weighted,2,1.5347043701799485,3,compose,0.7362485207100592,0.4831483342500143,0.34377004413665624,778
llama-3.1-8b,ragtruth_weighted,3,2.6314606741573034,0,search,0.7362485207100592,0.671930716023163,0.08735882365490698,1780
llama-3.1-8b,ragtruth_weighted,3,2.652222222222222,1,filter,0.7362485207100592,0.6635473807813165,0.09874537996847539,1800
llama-3.1-8b,ragtruth_weighted,3,2.287752675386445,2,summarize,0.7362485207100592,0.6496204919677313,0.11766139599001345,1682
llama-3.1-8b,ragtruth_weighted,3,1.8233766233766233,3,compose,0.7362485207100592,0.5090396234735595,0.3086035365033711,1540
