model,error_type,injection_step,n_paired,mean_baseline,mean_injected,mean_diff,std_diff,injected_ci95_lo,injected_ci95_hi,test,p_value,effect_size_r,cohens_d,p_value_adjusted,correction_method,significant_after_correction,p_value_bonferroni
llama-3.1-8b,invented,search,17438,0.7174251634361738,0.705463379849262,0.011961783586911905,0.1627386434100861,0.7020643597885651,0.708762151345478,wilcoxon_paired_by_query_trial,5.570583853842149e-71,-3.6256,0.0735,5.570583853842149e-71,holm-bonferroni (m=4),True,5.570583853842149e-71
llama-3.1-8b,invented,filter,15872,0.7175277217741934,0.6516064701319789,0.06592125164221477,0.18873308944969683,0.6477081470413403,0.6555542426890493,wilcoxon_paired_by_query_trial,0.0,-0.918,0.3493,0.0,holm-bonferroni (m=4),True,0.0
llama-3.1-8b,invented,summarize,12976,0.7139948109330044,0.6713628546291315,0.04263195630387308,0.18296462869386187,0.6672299299043913,0.6755591193472812,wilcoxon_paired_by_query_trial,9.45482622248735e-192,-2.0307,0.233,1.89096524449747e-191,holm-bonferroni (m=4),True,1.89096524449747e-191
llama-3.1-8b,invented,compose,6426,0.7165893764913372,0.4181126684315725,0.29847670805976484,0.22005785536671615,0.4118004739243048,0.424627647862396,wilcoxon_paired_by_query_trial,0.0,0.902,1.3564,0.0,holm-bonferroni (m=4),True,0.0
llama-3.1-8b,entity,search,14471,0.717995991983968,0.6912046179237112,0.026791374060256654,0.17301761633332738,0.687331438156205,0.6948742463431117,wilcoxon_paired_by_query_trial,2.439517522458435e-97,-3.3517,0.1548,2.439517522458435e-97,holm-bonferroni (m=4),True,2.439517522458435e-97
llama-3.1-8b,entity,filter,14471,0.7255900306359846,0.6859105672159368,0.03967946342004804,0.173427661476799,0.6822072970392196,0.6895216363163706,wilcoxon_paired_by_query_trial,4.558050728600333e-218,-1.9893,0.2288,9.116101457200666e-218,holm-bonferroni (m=4),True,9.116101457200666e-218
llama-3.1-8b,entity,summarize,9630,0.7402609899619246,0.675790357513722,0.06447063244820253,0.18215232334117645,0.6712854235276665,0.6802070251693616,wilcoxon_paired_by_query_trial,0.0,-0.3634,0.3539,0.0,holm-bonferroni (m=4),True,0.0
llama-3.1-8b,entity,compose,13498,0.7395115325727268,0.6199106110958238,0.11960092147690309,0.18167555875231592,0.6162018355453012,0.6235588607483296,wilcoxon_paired_by_query_trial,0.0,0.6004,0.6583,0.0,holm-bonferroni (m=4),True,0.0
llama-3.1-8b,unverifiable,search,2446,0.6775551921504498,0.6676014530737248,0.009953739076724985,0.1634912244917378,0.6596178362584622,0.6760155489517137,wilcoxon_paired_by_query_trial,3.817763004893365e-05,-4.7373,0.0609,3.817763004893365e-05,holm-bonferroni (m=4),True,3.817763004893365e-05
llama-3.1-8b,unverifiable,filter,3008,0.6819370567375885,0.6120715667311412,0.06986549000644746,0.17627243962648345,0.6041483226547388,0.6198338858282675,wilcoxon_paired_by_query_trial,2.6982800478505353e-97,-0.6211,0.3963,8.094840143551606e-97,holm-bonferroni (m=4),True,8.094840143551606e-97
llama-3.1-8b,unverifiable,summarize,3870,0.7207924203273041,0.6956882328696281,0.025104187457675828,0.17207129674049856,0.688618649218998,0.7030040092680789,wilcoxon_paired_by_query_trial,1.3130780054218235e-22,-4.7951,0.1459,2.626156010843647e-22,holm-bonferroni (m=4),True,2.626156010843647e-22
llama-3.1-8b,unverifiable,compose,5106,0.6996226661444053,0.4980249425236638,0.20159772362074152,0.19401401302410606,0.4914633061893932,0.5047686300938219,wilcoxon_paired_by_query_trial,0.0,0.8281,1.0391,0.0,holm-bonferroni (m=4),True,0.0
llama-3.1-8b,contradictory,search,2081,0.72537241710716,0.6623628336779823,0.06300958342917767,0.16807354904499722,0.653438228390297,0.6714292312900303,wilcoxon_paired_by_query_trial,1.152464862919565e-103,0.2451,0.3749,3.457394588758695e-103,holm-bonferroni (m=4),True,3.457394588758695e-103
llama-3.1-8b,contradictory,filter,2068,0.7256286266924564,0.6459447547732848,0.07968387191917174,0.19753211914969124,0.6361331702888215,0.6560283058168084,wilcoxon_paired_by_query_trial,3.8402968569465815e-91,0.2368,0.4034,3.8402968569465815e-91,holm-bonferroni (m=4),True,3.8402968569465815e-91
llama-3.1-8b,contradictory,summarize,2436,0.6947728516694034,0.6236549960218233,0.07111785564758022,0.18561816042991092,0.6150592817055721,0.631985371810115,wilcoxon_paired_by_query_trial,3.4975394155353346e-100,0.266,0.3831,6.995078831070669e-100,holm-bonferroni (m=4),True,6.995078831070669e-100
llama-3.1-8b,contradictory,compose,1764,0.7257747543461829,0.49170377685573563,0.23407097749044736,0.2749620576685082,0.4798183315553496,0.5035977189772303,wilcoxon_paired_by_query_trial,4.569352935916579e-178,0.7643,0.8513,1.8277411743666316e-177,holm-bonferroni (m=4),True,1.8277411743666316e-177
claude-sonnet-3-7,invented,search,64,0.5265624999999999,0.5291219249500501,-0.0025594249500499443,0.1426750887072224,0.4779605868090243,0.5803371424148767,wilcoxon_paired_by_query_trial,0.4573486452705351,-5.7572,-0.0179,0.4573486452705351,holm-bonferroni (m=4),False,0.4573486452705351
claude-sonnet-3-7,invented,filter,64,0.5265624999999999,0.5013429261710511,0.02521957382894883,0.17295947420086416,0.45296409575667385,0.5484579184704186,wilcoxon_paired_by_query_trial,0.10388387108209396,-5.9784,0.1458,0.20776774216418792,holm-bonferroni (m=4),False,0.20776774216418792
claude-sonnet-3-7,invented,summarize,65,0.5316923076923076,0.45114321575860034,0.08054909193370732,0.1711956371781419,0.40543940725940725,0.49885028202566656,wilcoxon_paired_by_query_trial,0.00029296998023475623,-1.4368,0.4705,0.0008789099407042687,holm-bonferroni (m=4),True,0.0008789099407042687
claude-sonnet-3-7,invented,compose,36,0.5055555555555554,0.09821067821067822,0.4073448773448774,0.16737664423405182,0.060505311046977706,0.14410742344075675,wilcoxon_paired_by_query_trial,1.673203258155265e-07,0.997,2.4337,6.69281303262106e-07,holm-bonferroni (m=4),True,6.69281303262106e-07
